x	y	topsis
[1.0, 4.0, 3.0, 3.0, 7.0]	[21.0, -0.0225683, -1000000.0, -100.0]	0.2568168972402621
[6.0, 0.0, 0.0, 4.0, 7.0]	[75.0, -0.0281465, -24.28, -600.0]	0.8351494379659435
[5.0, 7.0, 1.0, 7.0, 5.0]	[86.0, -0.0295956, -10.44, -500.0]	0.863832580621005
[8.0, 0.0, 4.0, 3.0, 7.0]	[96.6667, -0.0288237, -27.07, -800.0]	0.7927874299961551
[4.0, 0.0, 2.0, 5.0, 4.0]	[97.5, -0.0308199, -6.91, -400.0]	0.8906616169160188
[4.0, 0.0, 0.0, 8.0, 7.0]	[77.5, -0.0275144, -25.61, -400.0]	0.8880686158196037
[5.0, 5.0, 2.0, 8.0, 7.0]	[97.0, -0.0308908, -31.35, -500.0]	0.8645274306950959
[4.0, 7.0, 5.0, 5.0, 0.0]	[100.0, -0.0316861, -4.17, -400.0]	0.8886835467632799
[5.0, 1.0, 0.0, 7.0, 5.0]	[62.0, -0.0281806, -9.14, -500.0]	0.8499221526848256
[3.0, 0.0, 3.0, 3.0, 0.0]	[38.125, -0.0299129, -3.85, -300.0]	0.8555478512133585
[1.0, 0.0, 0.0, 8.0, 0.0]	[7.2, -0.0237069, -1000000.0, -100.0]	0.25372427847940676
[1.0, 0.0, 0.0, 6.0, 7.0]	[16.4, -0.0218232, -1000000.0, -100.0]	0.2566498971178877
[6.0, 4.0, 1.0, 7.0, 4.0]	[92.5, -0.0282076, -6.7, -600.0]	0.8416951843781943
[9.0, 0.0, 0.0, 8.0, 7.0]	[80.0, -0.0268904, -23.830000000000002, -900.0]	0.7680036224863156
[2.0, 6.0, 2.0, 7.0, 0.0]	[52.4, -0.0334077, -4.21, -200.0]	0.8797112048702628
[4.0, 0.0, 0.0, 4.0, 1.0]	[40.8333, -0.0266274, -3.8899999999999997, -400.0]	0.8482537276493789
[5.0, 0.0, 3.0, 3.0, 4.0]	[74.0, -0.0297455, -6.87, -500.0]	0.8571377439970598
[5.0, 4.0, 0.0, 8.0, 7.0]	[66.0, -0.0285783, -26.509999999999998, -500.0]	0.8528391133329052
[5.0, 3.0, 3.0, 6.0, 2.0]	[93.0, -0.0312034, -4.989999999999999, -500.0]	0.8632181647750037
[6.0, 2.0, 2.0, 5.0, 7.0]	[93.75, -0.0292286, -25.89, -600.0]	0.8407640424712445
[6.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0298471, -28.27, -600.0]	0.8407696074294714
[5.0, 0.0, 2.0, 6.0, 1.0]	[42.0, -0.0255473, -4.0200000000000005, -500.0]	0.8319753726698622
[5.0, 6.0, 3.0, 7.0, 0.0]	[72.0, -0.0310351, -4.11, -500.0]	0.8536741740912385
[2.0, 3.0, 5.0, 5.0, 0.0]	[58.0, -0.0335113, -6.04, -200.0]	0.8872762553318854
[5.0, 5.0, 5.0, 5.0, 1.0]	[94.0, -0.0309138, -4.32, -500.0]	0.8639814783456924
[3.0, 2.0, 1.0, 5.0, 3.0]	[91.25, -0.0316881, -5.31, -300.0]	0.9109588714198285
[3.0, 7.0, 4.0, 5.0, 3.0]	[100.0, -0.0324579, -5.760000000000001, -300.0]	0.9101846575908924
[4.0, 2.0, 5.0, 8.0, 0.0]	[100.0, -0.0316861, -4.17, -400.0]	0.8886835467632799
[4.0, 0.0, 1.0, 3.0, 4.0]	[93.3333, -0.0299499, -6.590000000000001, -400.0]	0.8918804014877956
