x	y
[6.0, 6.0, 0.0, 8.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[8.0, 3.0, 1.0, 4.0, 2.0]	[90.0, -0.0272956, -4.58, -800.0]
[6.0, 3.0, 1.0, 3.0, 1.0]	[93.75, -0.028176, -4.13, -600.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 3.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[2.0, 2.0, 4.0, 7.0, 2.0]	[59.2, -0.0332032, -7.11, -200.0]
[7.0, 1.0, 0.0, 3.0, 4.0]	[80.0, -0.0274863, -6.15, -700.0]
[10.0, 0.0, 1.0, 8.0, 0.0]	[20.0, -0.0225629, -3.78, -1000.0]
[3.0, 2.0, 5.0, 8.0, 7.0]	[100.0, -0.0338667, -31.16, -300.0]
[6.0, 3.0, 1.0, 4.0, 3.0]	[95.0, -0.0289618, -5.42, -600.0]
[8.0, 7.0, 5.0, 8.0, 3.0]	[100.0, -0.0284928, -5.54, -800.0]
[7.0, 3.0, 0.0, 3.0, 2.0]	[85.7143, -0.0276215, -4.42, -700.0]
[8.0, 5.0, 4.0, 8.0, 3.0]	[100.0, -0.0283665, -5.44, -800.0]
[10.0, 0.0, 5.0, 3.0, 0.0]	[20.0, -0.0277996, -4.15, -1000.0]
[6.0, 1.0, 2.0, 5.0, 3.0]	[98.75, -0.0297794, -5.54, -600.0]
[10.0, 7.0, 5.0, 8.0, 0.0]	[80.0, -0.0274432, -4.42, -1000.0]
[4.0, 3.0, 0.0, 3.0, 4.0]	[93.3333, -0.0297212, -6.47, -400.0]
[5.0, 7.0, 0.0, 7.0, 2.0]	[80.0, -0.0283583, -4.47, -500.0]
[8.0, 5.0, 4.0, 3.0, 7.0]	[98.3333, -0.028822, -28.07, -800.0]
[7.0, 6.0, 0.0, 7.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[5.0, 7.0, 0.0, 3.0, 0.0]	[79.0, -0.0299364, -4.0, -500.0]
[10.0, 0.0, 3.0, 4.0, 7.0]	[90.0, -0.0278042, -24.66, -1000.0]
[7.0, 6.0, 0.0, 7.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[7.0, 4.0, 4.0, 3.0, 2.0]	[98.5714, -0.0278054, -4.8, -700.0]
[10.0, 7.0, 5.0, 7.0, 4.0]	[100.0, -0.028902, -8.139999999999999, -1000.0]
[2.0, 5.0, 4.0, 4.0, 3.0]	[58.4, -0.0332363, -6.71, -200.0]
[7.0, 7.0, 3.0, 7.0, 3.0]	[100.0, -0.0288595, -5.41, -700.0]
[1.0, 2.0, 4.0, 7.0, 5.0]	[20.4, -0.0226085, -1000000.0, -100.0]
[7.0, 3.0, 0.0, 4.0, 4.0]	[80.0, -0.0274863, -6.15, -700.0]
[6.0, 0.0, 0.0, 4.0, 2.0]	[88.75, -0.0278759, -4.39, -600.0]
[5.0, 1.0, 3.0, 4.0, 6.0]	[95.0, -0.0307997, -15.65, -500.0]
[7.0, 4.0, 5.0, 4.0, 2.0]	[98.5714, -0.0293718, -4.8500000000000005, -700.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[7.0, 3.0, 3.0, 3.0, 1.0]	[94.2857, -0.0281576, -4.54, -700.0]
[5.0, 4.0, 3.0, 5.0, 5.0]	[95.0, -0.0306128, -10.24, -500.0]
