x	y	topsis
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 4.0, 7.0, 7.0]	[100.0, -0.033818, -28.79, -300.0]	0.9464827650750949
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 4.0, 7.0, 7.0]	[100.0, -0.033818, -28.79, -300.0]	0.9464827650750949
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 4.0, 7.0, 7.0]	[100.0, -0.033818, -28.79, -300.0]	0.9464827650750949
[3.0, 6.0, 4.0, 7.0, 7.0]	[100.0, -0.033818, -28.79, -300.0]	0.9464827650750949
[3.0, 6.0, 4.0, 7.0, 7.0]	[100.0, -0.033818, -28.79, -300.0]	0.9464827650750949
[3.0, 6.0, 4.0, 7.0, 7.0]	[100.0, -0.033818, -28.79, -300.0]	0.9464827650750949
[2.0, 6.0, 4.0, 7.0, 7.0]	[64.0, -0.0388276, -32.54, -200.0]	0.9336129319143017
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
